count,datetime
12.560828947471618,2011-01-20 00:00:00
5.39606903535559,2011-01-20 01:00:00
4.225347848119019,2011-01-20 02:00:00
3.1466729544878227,2011-01-20 03:00:00
2.376337701455062,2011-01-20 04:00:00
16.230406993231586,2011-01-20 05:00:00
64.20062199017015,2011-01-20 06:00:00
164.71503634782215,2011-01-20 07:00:00
329.7203828775461,2011-01-20 08:00:00
173.56568725705634,2011-01-20 09:00:00
103.15582476919154,2011-01-20 10:00:00
95.527527175102,2011-01-20 11:00:00
106.19551368262862,2011-01-20 12:00:00
100.28385732084175,2011-01-20 13:00:00
105.8415150832988,2011-01-20 14:00:00
112.25171023440214,2011-01-20 15:00:00
106.44965116412895,2011-01-20 16:00:00
232.4981372966919,2011-01-20 17:00:00
228.02023160014562,2011-01-20 18:00:00
176.445949173682,2011-01-20 19:00:00
123.84235141253043,2011-01-20 20:00:00
76.54524280071564,2011-01-20 21:00:00
61.72125533394377,2011-01-20 22:00:00
35.99441952357601,2011-01-20 23:00:00
16.701616145437747,2011-01-21 00:00:00
6.279482937396695,2011-01-21 01:00:00
3.5761928336641793,2011-01-21 02:00:00
2.3638641546877373,2011-01-21 03:00:00
2.026046791749823,2011-01-21 04:00:00
5.71695623004816,2011-01-21 05:00:00
49.71661012654895,2011-01-21 06:00:00
123.03274441015623,2011-01-21 07:00:00
221.33405837916166,2011-01-21 08:00:00
148.17313213636294,2011-01-21 09:00:00
67.94420690238115,2011-01-21 10:00:00
75.36854177227556,2011-01-21 11:00:00
82.5156103732238,2011-01-21 12:00:00
78.01701182097123,2011-01-21 13:00:00
73.40578916737594,2011-01-21 14:00:00
71.91233148586628,2011-01-21 15:00:00
97.73848040513647,2011-01-21 16:00:00
189.18599465150734,2011-01-21 17:00:00
166.8169930943901,2011-01-21 18:00:00
135.54949371075497,2011-01-21 19:00:00
106.16101903379582,2011-01-21 20:00:00
62.19300423784409,2011-01-21 21:00:00
38.492652450906434,2011-01-21 22:00:00
25.510455067616714,2011-01-21 23:00:00
33.92941658875438,2011-01-22 00:00:00
27.62100365974261,2011-01-22 01:00:00
26.869997706354475,2011-01-22 02:00:00
12.937507612706543,2011-01-22 03:00:00
2.9787101014380744,2011-01-22 04:00:00
3.1954779431692124,2011-01-22 06:00:00
16.63587006917126,2011-01-22 07:00:00
